Gene name,molecular_function,biological_process,cellular_component,Gene stable ID,Description,Gene Type
ITGA1,"Metal ion binding
Protein binding
Protein phosphatase binding
Integrin binding
Collagen binding
Collagen binding involved in cell-matrix adhesion
Signaling receptor binding","Cell adhesion
Integrin-mediated signaling pathway
Negative regulation of cell population proliferation
Cell-cell adhesion
Cell-matrix adhesion
Cell adhesion mediated by integrin
Positive regulation of phosphoprotein phosphatase activity
Negative regulation of epidermal growth factor receptor signaling pathway
Neutrophil chemotaxis
Vasodilation
Positive regulation of mapk cascade
Positive regulation of neuron apoptotic process
Cellular extravasation
Neuron projection morphogenesis
Cell chemotaxis","Integrin complex
Plasma membrane
Membrane
External side of plasma membrane
Cell surface
Focal adhesion
Extracellular exosome
Integrin alpha1-beta1 complex
Acrosomal vesicle
Perikaryon
Basal part of cell",ENSG00000213949,integrin subunit alpha 1,protein_coding
ITGA11,"Metal ion binding
Integrin binding
Collagen binding
Collagen binding involved in cell-matrix adhesion
Collagen receptor activity","Cell adhesion
Integrin-mediated signaling pathway
Cell-cell adhesion
Cell-matrix adhesion
Muscle organ development
Osteoblast differentiation
Cell adhesion mediated by integrin
Substrate-dependent cell migration
Collagen-activated signaling pathway","Integrin complex
Plasma membrane
Membrane
External side of plasma membrane
Focal adhesion
Integrin alpha11-beta1 complex",ENSG00000137809,integrin subunit alpha 11,protein_coding
ITGA2,"Metal ion binding
Protein binding
Protein-containing complex binding
Amyloid-beta binding
Integrin binding
Virus receptor activity
Collagen binding
Collagen binding involved in cell-matrix adhesion
Heparan sulfate proteoglycan binding
Collagen receptor activity
Laminin binding","Cell adhesion
Integrin-mediated signaling pathway
Symbiont entry into host cell
Cell-cell adhesion
Blood coagulation
Extracellular matrix organization
Animal organ morphogenesis
Cell-matrix adhesion
Cell-substrate adhesion
Cell adhesion mediated by integrin
Mesodermal cell differentiation
Response to hypoxia
Positive regulation of leukocyte migration
Substrate-dependent cell migration
Hypotonic response
Female pregnancy
Response to xenobiotic stimulus
Positive regulation of epithelial cell migration
Response to organic cyclic compound
Response to amine
Response to muscle activity
Positive regulation of smooth muscle cell migration
Mammary gland development
Positive regulation of cell projection organization
Positive regulation of collagen biosynthetic process
Response to l-ascorbic acid
Collagen-activated signaling pathway
Skin morphogenesis
Positive regulation of translation
Positive regulation of cell adhesion
Positive regulation of smooth muscle contraction
Focal adhesion assembly
Positive regulation of smooth muscle cell proliferation
Positive regulation of positive chemotaxis
Detection of mechanical stimulus involved in sensory perception of pain
Positive regulation of transmission of nerve impulse
Positive regulation of phagocytosis, engulfment
Hepatocyte differentiation
Response to parathyroid hormone
Cellular response to mechanical stimulus
Cellular response to estradiol stimulus
Cellular response to organic cyclic compound","Integrin complex
Plasma membrane
Membrane
External side of plasma membrane
Cell surface
Focal adhesion
Integrin alpha2-beta1 complex
Axon
Cell projection
Axon terminus
Basal part of cell
Perinuclear region of cytoplasm
Presynapse",ENSG00000164171,integrin subunit alpha 2,protein_coding
ITGA2-AS1,,,,ENSG00000249899,ITGA2 antisense RNA 1,lncRNA
ITGA3,"Protein binding
Metal ion binding
Fibronectin binding
Integrin binding
Collagen binding
Protein domain specific binding
Laminin binding
Protein-containing complex binding
Protein heterodimerization activity
Protease binding","Cell adhesion
Integrin-mediated signaling pathway
Neuron migration
Rho protein signal transduction
Heart development
Memory
Response to xenobiotic stimulus
Positive regulation of gene expression
Positive regulation of epithelial cell migration
Positive regulation of cell-substrate adhesion
Positive regulation of neuron projection development
Negative regulation of cell projection organization
Response to gonadotropin
Negative regulation of rho protein signal transduction
Exploration behavior
Maternal process involved in female pregnancy
Dendritic spine maintenance
Postsynapse organization
Synaptic membrane adhesion
Cell-cell adhesion
Nephron development
Cell-matrix adhesion
Regulation of wnt signaling pathway
Positive regulation of protein localization to plasma membrane
Cell adhesion mediated by integrin
Regulation of transforming growth factor beta receptor signaling pathway
Skin development
Mesodermal cell differentiation
Lung development
Leukocyte migration
Regulation of bmp signaling pathway
Renal filtration","Integrin complex
Plasma membrane
Membrane
Cell projection
Anchoring junction
Cell periphery
External side of plasma membrane
Filopodium membrane
Cell surface
Focal adhesion
Basolateral plasma membrane
Growth cone
Neuromuscular junction
Synapse
Postsynaptic membrane
Perinuclear region of cytoplasm
Presynaptic active zone membrane
Excitatory synapse
Synaptic membrane
Glutamatergic synapse
Growth cone filopodium
Integrin alpha3-beta1 complex
Extracellular exosome
Receptor complex",ENSG00000005884,integrin subunit alpha 3,protein_coding
ITGB3BP,Protein binding,"Regulation of dna-templated transcription
Cenp-a containing chromatin assembly
Cell division
Apoptotic process
Chromosome segregation
Signal transduction
Cell adhesion
Positive regulation of epithelial cell proliferation
Negative regulation of epithelial cell apoptotic process","Nucleus
Cytoplasm
Nucleoplasm
Chromosome, centromeric region
Kinetochore
Chromosome
Cytosol
Inner kinetochore
Membrane",ENSG00000142856,integrin subunit beta 3 binding protein,protein_coding
ITIH2,"Serine-type endopeptidase inhibitor activity
Protein binding
Hyaluronic acid binding
Endopeptidase inhibitor activity",Hyaluronan metabolic process,"Extracellular region
Extracellular exosome
Blood microparticle
Collagen-containing extracellular matrix
Endoplasmic reticulum lumen",ENSG00000151655,inter-alpha-trypsin inhibitor heavy chain 2,protein_coding
ITM2B,"Protein binding
Amyloid-beta binding
Atp binding","Nervous system development
Negative regulation of amyloid precursor protein biosynthetic process","Plasma membrane
Endosome membrane
Golgi apparatus
Endosome
Intracellular membrane-bounded organelle
Golgi membrane
Extracellular region
Membrane
Extracellular space
Organelle membrane
Extracellular exosome
Golgi-associated vesicle membrane",ENSG00000136156,integral membrane protein 2B,protein_coding
ITPR2-AS1,,,,ENSG00000256234,ITPR2 and SSPN antisense RNA 1,lncRNA
IYD,"Oxidoreductase activity
Protein binding
Fmn binding
Iodotyrosine deiodinase activity","Thyroid hormone metabolic process
Tyrosine metabolic process","Plasma membrane
Nucleoplasm
Cytoplasmic vesicle
Cytoplasmic vesicle membrane
Membrane",ENSG00000009765,iodotyrosine deiodinase,protein_coding
JADE2,"Metal ion binding
Protein binding
Ubiquitin protein ligase activity
Transferase activity
Histone h4k12 acetyltransferase activity
Histone h3k14 acetyltransferase activity
Histone h4k5 acetyltransferase activity
Histone h4k8 acetyltransferase activity","Protein polyubiquitination
Regulation of neurogenesis
Positive regulation of neurogenesis
Protein autoubiquitination
Neuron projection extension
Protein ubiquitination
Chromatin remodeling
Regulation of transcription by rna polymerase ii
Regulation of dna-templated transcription
Regulation of dna replication
Regulation of cell cycle
Regulation of cell growth
Regulation of dna biosynthetic process","Histone acetyltransferase complex
Nucleoplasm
Extracellular exosome",ENSG00000043143,jade family PHD finger 2,protein_coding
JADRR,,,,ENSG00000280711,JADE1 adjacent regulatory RNA,lncRNA
JAKMIP1,"Microtubule binding
Kinase binding
Protein binding
Gaba receptor binding
Rna binding","Protein transport
Cognition","Cytoplasm
Membrane
Cytoskeleton
Microtubule
Ribonucleoprotein complex",ENSG00000152969,janus kinase and microtubule interacting protein 1,protein_coding
JAKMIP1-DT,,,,ENSG00000249896,JAKMIP1 divergent transcript,transcribed_unprocessed_pseudogene
JARID2,"Dna binding
Protein binding
Histone h3k27 methyltransferase activity
Chromatin binding
Ubiquitin binding
Ubiquitin-modified histone reader activity","Cell differentiation
Chromatin organization
Chromatin remodeling
Regulation of gene expression
Stem cell differentiation
Central nervous system development
Negative regulation of transcription by rna polymerase ii
Liver development
Cell population proliferation
Negative regulation of cardiac muscle hypertrophy
Regulation of cell population proliferation
Negative regulation of dna-templated transcription
Spleen development
Thymus development
Cardiac muscle cell proliferation
Negative regulation of cardiac muscle cell proliferation
Random inactivation of x chromosome
Facultative heterochromatin formation
Protein localization to pericentric heterochromatin
Cellular response to leukemia inhibitory factor","Nucleus
Nucleoplasm
Mitochondrion
Chromatin
Histone methyltransferase complex
Esc/e(z) complex",ENSG00000008083,jumonji and AT-rich interaction domain containing 2,protein_coding
JAZF1,"Metal ion binding
Protein binding
Transcription corepressor activity","Lipid metabolic process
Negative regulation of transcription by rna polymerase ii","Nucleoplasm
Fibrillar center
Cytosol
Nucleus
Transcription repressor complex",ENSG00000153814,JAZF zinc finger 1,protein_coding
JMJD1C,"Histone h3k9 demethylase activity
Metal ion binding
Protein binding
Dioxygenase activity
Transcription coregulator activity
Chromatin dna binding
Nuclear thyroid hormone receptor binding","Regulation of dna-templated transcription
Chromatin organization
Chromatin remodeling
Regulation of transcription by rna polymerase ii
Blood coagulation","Nucleus
Chromatin
Nucleoplasm
Histone deacetylase complex",ENSG00000171988,jumonji domain containing 1C,protein_coding
